words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,word_key,sentence_id,sentence
The,68,1,62,24,0,99.0,13.0,0.0166435506241331,0.0326315789473684,4f29e384-84f8-4dc8-bd07-e4d351038c53,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
history,155,0,152,30,0,231.0,15.0,0.0208044382801664,0.08,1d6ed8cf-e2b5-43ce-b190-56f8ec83d14c,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
of,332,2,39,23,0,351.5,13.5,0.0159500693481276,0.0205263157894736,7e7b8839-ee21-47ac-8a31-9d078a751723,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
film,399,0,85,25,0,441.5,12.5,0.0173370319001386,0.0447368421052631,e5f11c54-eed2-4a3d-b843-2f75c9632a48,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
began,506,1,110,30,0,561.0,16.0,0.0208044382801664,0.0578947368421052,db267961-974c-491a-8f3f-74e3f819920f,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
in,642,0,40,25,0,662.0,12.5,0.0173370319001386,0.0210526315789473,0deeae02-b62f-41fd-9ed7-b8afe838aaf5,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
the,707,1,61,24,0,737.5,13.0,0.0166435506241331,0.0321052631578947,3d6cd461-8c2b-4216-b898-506b805033d7,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
"1890s,",795,4,121,25,0,855.5,16.5,0.0173370319001386,0.0636842105263157,32996aca-b652-4c23-a48f-997ae5ab9aec,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
with,946,0,88,25,0,990.0,12.5,0.0173370319001386,0.0463157894736842,9ad035b0-6b7e-4b65-8d20-6750523416f2,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
the,1059,1,61,24,0,1089.5,13.0,0.0166435506241331,0.0321052631578947,2f9306c9-9bac-4570-bf04-4365cbeaaed2,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
invention,1148,0,194,25,0,1245.0,12.5,0.0173370319001386,0.1021052631578947,22bb8f91-5eeb-4912-be47-5ae732f03b87,history_of_film_0,"The history of film began in the 1890s, with the invention of motion picture cameras and the establishment of film production companies."
