words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,word_key
Pluto,68,1,106,24,0,121.0,13.0,0.0166435506241331,0.0557894736842105,b73180a5-011d-42d5-8c12-2a4acb4344b4
(minor-planet,208,0,274,31,0,345.0,15.5,0.0214979195561719,0.1442105263157894,43e85048-6af0-4195-8627-796a1189f9e8
designation:,507,0,255,31,0,634.5,15.5,0.0214979195561719,0.1342105263157894,f5513591-945c-4090-85cc-13e439346527
134340,795,4,126,21,0,858.0,14.5,0.0145631067961165,0.0663157894736842,d3f7e9f7-0d0d-4e4e-8298-ee17bb5e29e2
Pluto),948,1,120,27,0,1008.0,14.5,0.0187239944521497,0.0631578947368421,c60b20f4-8d7a-4c39-bb63-7bc5394cd142
is,1104,0,38,25,0,1123.0,12.5,0.0173370319001386,0.02,ffd8baa3-5202-4f7c-be64-1b720e03b7d2
a,1168,8,19,17,0,1177.5,16.5,0.0117891816920943,0.01,3083717d-cfc9-4c5a-ab58-406ece04321e
dwarf,1211,1,106,24,0,1264.0,13.0,0.0166435506241331,0.0557894736842105,c7cd30e1-24df-43c8-ad39-9d9c08cb856d
planet,1342,1,130,30,0,1407.0,16.0,0.0208044382801664,0.0684210526315789,cbe7cad4-36ea-4dc5-8157-e71bbe2002fe
in,1500,0,40,25,0,1520.0,12.5,0.0173370319001386,0.0210526315789473,fe65efa4-b374-4e1a-ba06-08021a3880bb
the,1565,1,61,24,0,1595.5,13.0,0.0166435506241331,0.0321052631578947,ebcb6307-11bd-49e8-9078-1c6fcdb5fa6e
Kuiper,1651,0,128,31,0,1715.0,15.5,0.0214979195561719,0.0673684210526315,7fb77180-2c52-482b-a563-f940b8b0e43b
"belt,",0,91,102,28,0,51.0,105.0,0.0194174757281553,0.0536842105263157,588e85ba-de6b-4700-96a0-3c47b1b6c995
a,134,98,19,17,0,143.5,106.5,0.0117891816920943,0.01,0ba73dbe-363d-4daf-aa48-3c446589e2a7
ring,178,90,86,31,0,221.0,105.5,0.0214979195561719,0.0452631578947368,439a3e2b-e999-4bb1-91c5-578f41ef0ec5
of,288,92,39,23,0,307.5,103.5,0.0159500693481276,0.0205263157894736,34a8910f-58c6-4c74-a54e-8ed72ed9999d
bodies,352,90,130,25,0,417.0,102.5,0.0173370319001386,0.0684210526315789,fdd97410-2e1e-4b62-80e0-2ed6c383ba6c
beyond,506,91,132,29,0,572.0,105.5,0.0201109570041608,0.0694736842105263,6d8297b2-9e22-4c31-9d25-521966e635e9
Neptune.,660,94,168,27,0,744.0,107.5,0.0187239944521497,0.0884210526315789,a0c74dd6-def7-4182-842d-a36cb0c02086
It,861,94,39,21,0,880.5,104.5,0.0145631067961165,0.0205263157894736,a7d15e1e-4a6a-4f57-a7ba-d2b698a9915e
