Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
0,The,68,1,62,24,0,99.0,13.0,0.0166435506241331,0.0326315789473684,0,49eb909a-2908-44fc-845a-b7949f340610
1,prisoner's,154,0,218,31,0,263.0,15.5,0.0214979195561719,0.1147368421052631,0,91ede077-fccf-4523-94cd-6e59dd374d3d
2,dilemma,397,0,152,25,0,473.0,12.5,0.0173370319001386,0.08,0,bc19d755-211f-4e39-b2fb-bc889157e45d
3,is,576,0,38,25,0,595.0,12.5,0.0173370319001386,0.02,0,04c2ac42-7348-48ff-8844-93501ea7220f
4,a,640,8,19,17,0,649.5,16.5,0.0117891816920943,0.01,0,fe8ce137-3c39-4cc5-a3d4-6ece3966c810
5,standard,685,1,173,24,0,771.5,13.0,0.0166435506241331,0.0910526315789473,0,6bdc1c89-c86e-448d-8dc3-043473db6193
6,example,882,1,150,30,0,957.0,16.0,0.0208044382801664,0.0789473684210526,0,601c3947-51bb-49ec-b0fa-6181f373f9f2
7,of,1058,2,39,23,0,1077.5,13.5,0.0159500693481276,0.0205263157894736,0,0fefee74-4d50-456d-9f50-49f4a80b7669
8,a,1124,8,19,17,0,1133.5,16.5,0.0117891816920943,0.01,0,56cbff4d-86d0-41c0-ac76-52154583af83
9,game,1168,8,84,23,0,1210.0,19.5,0.0159500693481276,0.0442105263157894,0,2e32e1b5-fba8-4733-93f6-bcb567dd0870
10,analyzed,1278,1,174,29,0,1365.0,15.5,0.0201109570041608,0.091578947368421,0,021d64ab-2ed4-407d-9672-24270ee3f1a5
11,in,1478,0,40,25,0,1498.0,12.5,0.0173370319001386,0.0210526315789473,0,9e564f91-9804-448e-9038-b98dee16123d
12,game,1542,8,84,23,0,1584.0,19.5,0.0159500693481276,0.0442105263157894,0,57fbf2ff-4855-451b-909c-e575f6ab5033
13,theory,1653,1,128,29,0,1717.0,15.5,0.0201109570041608,0.0673684210526315,0,46b53839-b26f-481a-b1c5-b9dfae6fb69e
14,that,1807,1,83,24,0,1848.5,13.0,0.0166435506241331,0.0436842105263157,0,ebb23e5d-db54-4b13-91bf-280a1f30cc21
15,shows,3,91,105,24,0,55.5,103.0,0.0166435506241331,0.0552631578947368,0,61f8d7c8-8083-48ba-beb4-c1923288787f
16,why,132,91,65,29,0,164.5,105.5,0.0201109570041608,0.0342105263157894,0,9a8d1192-d52f-457c-b80e-6c097cb25d53
17,two,223,94,61,21,0,253.5,104.5,0.0145631067961165,0.0321052631578947,0,a57dcfbd-04c7-4496-97cf-03836e54da91
18,completely,310,91,217,30,0,418.5,106.0,0.0208044382801664,0.1142105263157894,0,a148be82-240e-40e6-93b9-71e67953ddcc
19,"""rational""",555,90,210,25,0,660.0,102.5,0.0173370319001386,0.1105263157894736,0,96b1b3f9-5399-409a-8e5f-e61c43e52480
20,individuals,796,90,236,25,0,914.0,102.5,0.0173370319001386,0.1242105263157894,0,b24b6c15-5e73-4787-a69b-b68cb45b4838
21,might,1056,90,108,31,0,1110.0,105.5,0.0214979195561719,0.0568421052631578,0,2889ea8b-a642-42d7-a88e-01cb9e291df7
22,not,1189,94,63,21,0,1220.5,104.5,0.0145631067961165,0.0331578947368421,0,fcf45653-b93a-4d30-af24-2c36bf6d3a2e
23,"cooperate,",1278,94,210,27,0,1383.0,107.5,0.0187239944521497,0.1105263157894736,0,78aeddad-5eef-46bc-af93-7726bb0a346c
24,even,1520,98,86,17,0,1563.0,106.5,0.0117891816920943,0.0452631578947368,0,17b11d0a-9385-4553-a251-e48bb80cf061
25,if,1632,90,37,25,0,1650.5,102.5,0.0173370319001386,0.0194736842105263,0,7e896e47-af1e-4005-a63c-c9646d2f7767
26,it,1698,90,38,25,0,1717.0,102.5,0.0173370319001386,0.02,0,b47bc5f2-33ee-42aa-9a00-a6db260912ce
27,appears,2,187,150,24,0,77.0,199.0,0.0166435506241331,0.0789473684210526,0,5b237a17-663e-4eab-9e24-14ce6c1ad4d6
28,that,179,181,83,24,0,220.5,193.0,0.0166435506241331,0.0436842105263157,0,27813aa6-feab-4e22-9c21-2eb0a3171b09
29,it,290,180,38,25,0,309.0,192.5,0.0173370319001386,0.02,0,ec034504-dae1-4e03-a73f-ce1fe08f4103
30,is,356,180,38,25,0,375.0,192.5,0.0173370319001386,0.02,0,39e9f067-f613-4479-b666-c98a8888ac8d
31,in,422,180,40,25,0,442.0,192.5,0.0173370319001386,0.0210526315789473,0,3c4ec78a-26f9-432f-bc99-392152872c50
32,their,487,180,104,25,0,539.0,192.5,0.0173370319001386,0.0547368421052631,0,3237b6a5-8444-4a73-9112-f313fcac6ced
33,best,616,181,86,24,0,659.0,193.0,0.0166435506241331,0.0452631578947368,0,8ecdfaac-29a8-4577-a98d-a07d88c5517a
34,interests,730,180,192,25,0,826.0,192.5,0.0173370319001386,0.1010526315789473,0,f6f54087-b34c-4d20-951e-1f54e1dd72a4
35,to,949,184,39,21,0,968.5,194.5,0.0145631067961165,0.0205263157894736,0,096f740e-3010-402b-861e-e87f5d74aa68
36,do,1013,181,41,24,0,1033.5,193.0,0.0166435506241331,0.021578947368421,0,3bdeba4a-0ecd-4e1e-9c87-eaa376079123
37,so.,1081,187,55,18,0,1108.5,196.0,0.0124826629680998,0.0289473684210526,0,63691122-40af-48d9-858d-9468d1d5baae
38,It,1169,184,39,21,0,1188.5,194.5,0.0145631067961165,0.0205263157894736,0,4545bdb7-7054-4a52-94db-25b0caa6f03a
39,was,1232,187,64,18,0,1264.0,196.0,0.0124826629680998,0.0336842105263157,0,c724d7f0-bd87-4f9b-89a1-782e227f73a1
40,originally,1322,180,217,31,0,1430.5,195.5,0.0214979195561719,0.1142105263157894,0,698fe350-9887-4e4c-b85f-c5f6fbe2bf6d
41,framed,1565,181,129,24,0,1629.5,193.0,0.0166435506241331,0.0678947368421052,0,2994df32-4ead-4850-ab1d-1c4c981f49ca
42,by,1716,181,43,29,0,1737.5,195.5,0.0201109570041608,0.0226315789473684,0,8e544701-8586-4161-8061-1dfd053d6a07
43,Merrill,0,270,151,25,0,75.5,282.5,0.0173370319001386,0.0794736842105263,0,3e169c1c-161c-49b4-8e97-4c8361391753
44,Flood,178,271,108,24,0,232.0,283.0,0.0166435506241331,0.0568421052631578,0,de271dc5-010b-433e-a0b4-1e35bb04f95e
45,and,310,271,64,24,0,342.0,283.0,0.0166435506241331,0.0336842105263157,0,f1a96439-39fa-4190-9567-ce5eb03fa6de
46,Melvin,396,270,132,25,0,462.0,282.5,0.0173370319001386,0.0694736842105263,0,91e094f7-aa22-4ef6-96fd-1955231a227c
47,Dresher,551,271,150,24,0,626.0,283.0,0.0166435506241331,0.0789473684210526,0,331dd40a-d914-4c9d-9829-d81356af72d5
48,working,726,270,154,31,0,803.0,285.5,0.0214979195561719,0.0810526315789473,0,e42fe95c-69f0-462a-b6fb-edec2dd11071
49,at,904,274,40,21,0,924.0,284.5,0.0145631067961165,0.0210526315789473,0,42c56d35-a2c2-4bd2-b08c-6b4d221f9cef
50,RAND,969,274,86,21,0,1012.0,284.5,0.0145631067961165,0.0452631578947368,0,b3f734f8-4c33-4ea0-9d12-40349f961889
51,in,1082,270,40,25,0,1102.0,282.5,0.0173370319001386,0.0210526315789473,0,930e7d26-c145-4d61-a9d3-e30cb6549049
52,1950.,1147,274,99,21,0,1196.5,284.5,0.0145631067961165,0.0521052631578947,0,7a13d50c-4e61-4581-92ea-78ef9f4228d3
53,Albert,1276,271,130,24,0,1341.0,283.0,0.0166435506241331,0.0684210526315789,0,2a100a23-db93-4fe7-9cbf-2e4159b8b273
