words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,word_key,sentence_id,sentence
The,68,1,62,24,0,99.0,13.0,0.0166435506241331,0.0326315789473684,49eb909a-2908-44fc-845a-b7949f340610,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
prisoner's,154,0,218,31,0,263.0,15.5,0.0214979195561719,0.1147368421052631,91ede077-fccf-4523-94cd-6e59dd374d3d,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
dilemma,397,0,152,25,0,473.0,12.5,0.0173370319001386,0.08,bc19d755-211f-4e39-b2fb-bc889157e45d,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
is,576,0,38,25,0,595.0,12.5,0.0173370319001386,0.02,04c2ac42-7348-48ff-8844-93501ea7220f,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
a,640,8,19,17,0,649.5,16.5,0.0117891816920943,0.01,fe8ce137-3c39-4cc5-a3d4-6ece3966c810,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
standard,685,1,173,24,0,771.5,13.0,0.0166435506241331,0.0910526315789473,6bdc1c89-c86e-448d-8dc3-043473db6193,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
example,882,1,150,30,0,957.0,16.0,0.0208044382801664,0.0789473684210526,601c3947-51bb-49ec-b0fa-6181f373f9f2,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
of,1058,2,39,23,0,1077.5,13.5,0.0159500693481276,0.0205263157894736,0fefee74-4d50-456d-9f50-49f4a80b7669,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
a,1124,8,19,17,0,1133.5,16.5,0.0117891816920943,0.01,56cbff4d-86d0-41c0-ac76-52154583af83,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
game,1168,8,84,23,0,1210.0,19.5,0.0159500693481276,0.0442105263157894,2e32e1b5-fba8-4733-93f6-bcb567dd0870,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
analyzed,1278,1,174,29,0,1365.0,15.5,0.0201109570041608,0.091578947368421,021d64ab-2ed4-407d-9672-24270ee3f1a5,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
in,1478,0,40,25,0,1498.0,12.5,0.0173370319001386,0.0210526315789473,9e564f91-9804-448e-9038-b98dee16123d,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
game,1542,8,84,23,0,1584.0,19.5,0.0159500693481276,0.0442105263157894,57fbf2ff-4855-451b-909c-e575f6ab5033,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
theory,1653,1,128,29,0,1717.0,15.5,0.0201109570041608,0.0673684210526315,46b53839-b26f-481a-b1c5-b9dfae6fb69e,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
that,1807,1,83,24,0,1848.5,13.0,0.0166435506241331,0.0436842105263157,ebb23e5d-db54-4b13-91bf-280a1f30cc21,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
shows,3,91,105,24,0,55.5,103.0,0.0166435506241331,0.0552631578947368,61f8d7c8-8083-48ba-beb4-c1923288787f,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
why,132,91,65,29,0,164.5,105.5,0.0201109570041608,0.0342105263157894,9a8d1192-d52f-457c-b80e-6c097cb25d53,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
two,223,94,61,21,0,253.5,104.5,0.0145631067961165,0.0321052631578947,a57dcfbd-04c7-4496-97cf-03836e54da91,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
completely,310,91,217,30,0,418.5,106.0,0.0208044382801664,0.1142105263157894,a148be82-240e-40e6-93b9-71e67953ddcc,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
"""rational""",555,90,210,25,0,660.0,102.5,0.0173370319001386,0.1105263157894736,96b1b3f9-5399-409a-8e5f-e61c43e52480,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
individuals,796,90,236,25,0,914.0,102.5,0.0173370319001386,0.1242105263157894,b24b6c15-5e73-4787-a69b-b68cb45b4838,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
might,1056,90,108,31,0,1110.0,105.5,0.0214979195561719,0.0568421052631578,2889ea8b-a642-42d7-a88e-01cb9e291df7,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
not,1189,94,63,21,0,1220.5,104.5,0.0145631067961165,0.0331578947368421,fcf45653-b93a-4d30-af24-2c36bf6d3a2e,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
"cooperate,",1278,94,210,27,0,1383.0,107.5,0.0187239944521497,0.1105263157894736,78aeddad-5eef-46bc-af93-7726bb0a346c,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
even,1520,98,86,17,0,1563.0,106.5,0.0117891816920943,0.0452631578947368,17b11d0a-9385-4553-a251-e48bb80cf061,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
if,1632,90,37,25,0,1650.5,102.5,0.0173370319001386,0.0194736842105263,7e896e47-af1e-4005-a63c-c9646d2f7767,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
it,1698,90,38,25,0,1717.0,102.5,0.0173370319001386,0.02,b47bc5f2-33ee-42aa-9a00-a6db260912ce,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
appears,2,187,150,24,0,77.0,199.0,0.0166435506241331,0.0789473684210526,5b237a17-663e-4eab-9e24-14ce6c1ad4d6,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
that,179,181,83,24,0,220.5,193.0,0.0166435506241331,0.0436842105263157,27813aa6-feab-4e22-9c21-2eb0a3171b09,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
it,290,180,38,25,0,309.0,192.5,0.0173370319001386,0.02,ec034504-dae1-4e03-a73f-ce1fe08f4103,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
is,356,180,38,25,0,375.0,192.5,0.0173370319001386,0.02,39e9f067-f613-4479-b666-c98a8888ac8d,prisoners_dilemma_0,"The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely ""rational"" individuals might not cooperate, even if it appears that it is in their best interests to do so."
