Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
0,The,68,1,62,24,0,99.0,13.0,0.0166435506241331,0.0326315789473684,0,90db4846-429a-4146-9818-7a16020bbd25
1,Voynich,154,0,154,30,0,231.0,15.0,0.0208044382801664,0.0810526315789473,0,35c1edf5-6362-4c1f-839f-6e56c42f41b3
2,manuscript,330,0,218,31,0,439.0,15.5,0.0214979195561719,0.1147368421052631,0,d08cf3b9-6482-4f9e-9552-1d44ee96b9b9
3,is,576,0,38,25,0,595.0,12.5,0.0173370319001386,0.02,0,ff9c4bc0-5bc8-4559-a269-f1e453611afd
4,an,640,8,42,17,0,661.0,16.5,0.0117891816920943,0.0221052631578947,0,89a1ebdf-9bae-49cd-a21c-fd59557f6b9b
5,illustrated,708,0,238,25,0,827.0,12.5,0.0173370319001386,0.1252631578947368,0,450e2d33-0583-4d73-92d3-f550473c959e
6,codex,970,1,108,24,0,1024.0,13.0,0.0166435506241331,0.0568421052631578,0,83e5360a-be6e-4cd6-8a86-ab14931796f2
7,hand-written,1101,0,263,25,0,1232.5,12.5,0.0173370319001386,0.1384210526315789,0,800a16f3-d67d-44e7-a379-ae58ab48dd10
8,in,1390,0,40,25,0,1410.0,12.5,0.0173370319001386,0.0210526315789473,0,09ccf252-4634-4a30-a18e-f3048a427b42
9,an,1454,8,42,17,0,1475.0,16.5,0.0117891816920943,0.0221052631578947,0,e0801cbc-bd81-48f1-bf68-864b89712890
10,unknown,1519,1,153,24,0,1595.5,13.0,0.0166435506241331,0.0805263157894736,0,fe0f75b0-691d-4330-b662-767140eefcfb
11,writing,1694,0,154,31,0,1771.0,15.5,0.0214979195561719,0.0810526315789473,0,e4299964-e991-4075-aa3e-0bdceeb21aa5
12,system.,3,94,143,26,0,74.5,107.0,0.0180305131761442,0.0752631578947368,0,9b58cf09-3504-4e0f-88cc-ab3d2b8c48ed
13,The,178,91,62,24,0,209.0,103.0,0.0166435506241331,0.0326315789473684,0,2e5975b8-5475-4ddd-b1f2-f140f9b30cd4
14,paper,264,98,107,23,0,317.5,109.5,0.0159500693481276,0.0563157894736842,0,51e2bb44-b653-4463-8e49-70e66d45d870
15,in,400,90,40,25,0,420.0,102.5,0.0173370319001386,0.0210526315789473,0,05ef03c2-2e78-4957-a520-600c8bf36ac7
16,the,465,91,61,24,0,495.5,103.0,0.0166435506241331,0.0321052631578947,0,6ac1a6bb-7c98-4942-b261-bf5533b21072
17,book,550,91,87,24,0,593.5,103.0,0.0166435506241331,0.0457894736842105,0,635f1ab1-8ee2-47e7-a4e5-594775e77e2b
18,pages,660,97,108,24,0,714.0,109.0,0.0166435506241331,0.0568421052631578,0,36d0892d-326e-4595-9c4a-ea5688998d47
19,has,793,91,63,24,0,824.5,103.0,0.0166435506241331,0.0331578947368421,0,0cdde4f0-f205-41ab-bd38-636f8b0ee1d3
20,been,880,91,88,24,0,924.0,103.0,0.0166435506241331,0.0463157894736842,0,44fcd05c-54c0-48fb-8037-563c75a86e22
21,carbon-dated,992,91,262,24,0,1123.0,103.0,0.0166435506241331,0.1378947368421052,0,7e541506-91d1-4405-a1f5-a8767441800b
22,to,1279,94,39,21,0,1298.5,104.5,0.0145631067961165,0.0205263157894736,0,2adc38a0-4789-4d34-b4cc-e805e8450c26
